Sentence,Category,Label,Sentence_Length
criterion mae result random forest output median instead mean difficult updat loss function,information giving,1,13
mse take origin varianc perform constant time updat loss move sampl one side partit mae current loss complet recomput take time,information giving,1,21
result entir process instead,information giving,1,4
time perform compar sampl,information giving,1,4
sampl least comput finish second sampl scale would impli need second day,information giving,1,12
convers sampl take second,information giving,1,4
still work,information giving,1,2
albeit less time hope,information giving,1,4
identifi issu current implement review current code,information giving,1,7
one rais issu soon,problem discovery,5,4
work far think optimis possibl one storag mae least math fail,information giving,1,11
think requir left right mae store next test,information giving,1,8
identifi sever area improv crux imo deal addit loopag word,information giving,1,10
requir deal,information giving,1,2
end put hold improv speed would also requir fix addit issu found first median calcul proper etc would requir unit test etc time,information giving,1,23
end bespok solut job hand one requir use part issu difficult solv,information giving,1,12
anyon think solut could good first pass clean code get submit,information seeking,3,11
requir bag base solut random forest could forc solut creat new row instead default expans per bag,information giving,1,17
wrt boost requir comment,information seeking,3,4
suspect though peopl use mae would provid sampl weight,information giving,1,9
anecdot usag creat solut extra burden state remembr reduc optimis almost make effici chang moot pointless time wise,information giving,1,18
though hope optim solut get head togeth,information giving,1,7
would use sort instead bubbl sort pqueue make bit faster,information seeking,3,10
rememb correct would,information giving,1,3
list alreadi sort ad new item bubbl sort,information giving,1,8
sort assum list alreadi sort would least probabl wors,information giving,1,9
sorri understand thing correct complet new also structur quit complex sort use sort implement thus possibl faster retriev middl median rather keep sort pqueue,information seeking,3,24
long stori short need comput median basic everi insert need recomput error everi insert see improv,information giving,1,16
way would sort everi insert,information giving,1,5
yes along code keep track increment updat mae instead recomput everi time,information giving,1,12
two chang necessari,information giving,1,3
notic current still issu train mae criterion finish grid search gradientboost regress tree,problem discovery,5,13
spent lot time tri debug wrong stumbl thread,information giving,1,8
would propos ad warn document,feature request,null,5
train criterion mean recalcul loss function iter take extrem long time prevent futur coder get stuck problem,information giving,1,17
psa user encourag use histgradientboostingregressor consider faster,information giving,1,7
confirm criterion time slower train compar default one randomforestregressor,information giving,1,9
problem mae function code less effici mse one,information seeking,3,8
yes mae code scale instead see comment march assum noth chang,information giving,1,11
believ could improv scale log use loss updat algorithm take log time instead loss time see juli comment sort,information giving,1,19
bottleneck specif,information seeking,3,2
may want take look commit unsuccess tri fix issu,solution proposal,4,9
issu sort mayb also issu though appar thought repli new median comput mae scratch quit quick sort item instead increment updat,problem discovery,5,21
thank repli,others,7,2
said make lot sens,others,7,4
know plan improv mae updat,information seeking,3,5
commit written past jeremi much better inform issu,information giving,1,8
probabl best give without dive time,information giving,1,6
also say reflect back succeed abl set good cycl wip code familiar cython test got segment fault,information giving,1,17
also suspect code logic around updat flaw could avoid good test case implement updat,information giving,1,14
suggest,others,7,1
suggest gitter,others,7,2
main interest coeffici variabl mix type categor numer ordin,information giving,1,9
one popular use case packag daisi mention cluster data mix type see page,information giving,1,13
general claim gower general similar coeffici one popular measur proxim mix data type,information giving,1,13
seem like plausibl claim,information giving,1,4
think way calcul dissimilar coeffici mix data type current appear standard one,information giving,1,12
find lot exampl onlin peopl explain gower coeffici suggest use mix data type noth could call benchmark yet,information giving,1,18
origin paper cite time accord googl scholar,information giving,1,7
great,others,7,1
chang would complement nice introduc nativ categor variabl support tree,information giving,1,10
tag new featur,information giving,1,3
wonder updat,information seeking,3,2
plus issu note still relev,information seeking,3,5
seem need someon integr code,information giving,1,5
hmm case go free time,information giving,1,5
way happen know anyth current state issu note pdist modul intern pdist make sever numer transform fail use matrix mix data,problem discovery,5,21
privat function pdist assum under data complet numer true datafram categor data,information giving,1,12
worri fork get get code later,information giving,1,6
import contribut,information giving,1,2
let know done,information giving,1,3
thank take,others,7,2
feasibl wonder would consid ad support gower calcul data nan valu also implement daisi packag also referenc,information seeking,3,17
finish integr gower also observ treatment nan valu,information giving,1,8
go prepar unit test submit fork code,information giving,1,7
great,others,7,1
thank much especi includ nan support,others,7,6
,others,7,0
made pull request day ago,others,7,5
made chang requir check pass,information giving,1,5
great work,others,7,2
might want chang row someth like col min max max max els,information giving,1,12
chang code avoid warn propos pierr wessman green,information giving,1,8
need someon review code,information giving,1,4
potenti other,information giving,1,2
hello marcelo paramet valu true fals categor variabl encod numer format,information seeking,3,11
thank repli,others,7,2
yes use newest version indic,information giving,1,5
redownload work success,information giving,1,3
would like ask coupl thing sinc newbi machin learn use kpca decreas dimens input hierarch cluster algorithm,information seeking,3,17
use whole dataset high dimension input hierarch cluster,information seeking,3,8
thank implement,others,7,2
news regard,information seeking,3,2
alex finish modif review ask far pull request green,information giving,1,9
also ping review check happi close pull request push releas,information giving,1,10
updat,information seeking,3,1
,others,7,0
work progress review,information giving,1,3
approv,information seeking,3,1
yet work progress recent code review,information giving,1,6
bad need,others,7,2
take latest commit function,information giving,1,4
manag make work local,information giving,1,4
quick ticket,others,7,2
thank work,others,7,2
bump,others,7,1
would great addit,information giving,1,3
believ taken year relat simpl calcul make sklearn,information giving,1,8
,others,7,0
could say thank dedic persist four year volunt effort,others,7,9
look forward sklearn,information giving,1,3
someon claim borrow idea thread releas packag github calcul gower distanc similar technic,information giving,1,13
speak distanc similar exampl ident one,information giving,1,6
glanc code far glimps,information giving,1,4
guy thank keep eye,others,7,4
good luck process,others,7,3
data size limit implement,information seeking,3,4
discuss sure issu,information giving,1,3
wrapper class chang decis threshold base estim,information giving,1,7
common think solut,information giving,1,3
simpl rule select new threshold,information giving,1,5
would object,others,7,2
also recent paper colleagu nyu proper control differ kind error need search,information giving,1,12
relat,information seeking,3,1
yes definit relat,information giving,1,3
though think would implement transform would add adjust threshold use mention strategi,solution proposal,4,12
hey seem like one work give tri,information seeking,3,7
sound good,others,7,2
inde would tri commit whole featur,information giving,1,6
also see way becom familiar librari,information giving,1,6
first need get good grip request featur though,information giving,1,8
mayb find paper mention,information seeking,3,4
thnx advanc,others,7,2
give updat,others,7,2
went mention issu got better understand task,information giving,1,7
think start implement api class,information giving,1,5
could still use help exact threshold decis base,information giving,1,8
mayb said provid three option let user decid one use,information seeking,3,10
admit still pretti stuck look calibrationclassifi calibr modul seem like tack similar problem,problem discovery,5,13
also work calibr probabl threshold,information giving,1,5
sure exact propos fit find difficult find way around problem,information giving,1,10
would like guidanc paper suggest help understand ask much let know someon els take,information seeking,3,14
mayb start implement wrapper pick point curv closest top right,solution proposal,4,10
tri understand would mean train set use prefit model,information giving,1,9
insid loop take averag,information giving,1,4
threshold,others,7,1
seem relev via max kuhn book realli found,information seeking,3,8
info,information giving,1,1
seem closer,information seeking,3,2
thank take time,others,7,3
think calibr predict work case multilabel classif,information giving,1,7
also way see threshold calibr function offer calibratedclassifiercv class main name broad cover calibr practis current offer probabl estim calibr option choos whether use threshold calibr probabl calibr,feature request,null,28
multilabel calibr output column independ,information giving,1,5
binari case exact equival use cutoff,information giving,1,6
updat plan make progress weekend precis want focus follow,information giving,1,9
extend implement two method pick optim cutoff chang name updat docstr,information giving,1,11
plan follow day add exampl test,information giving,1,6
think point qualifi mrg review,information seeking,3,5
okay thnx prompt repli,others,7,4
also tri make clear comprehens possibl,information giving,1,6
agre cost function one good way deal pick threshold though necessarili natur case,information giving,1,13
gambl busi basic thing defin cost easi,information giving,1,7
medic exampl defin cost,information giving,1,4
much cost child die compar misdiagnosi,information seeking,3,6
set think precis recal associ measur natur,information giving,1,7
btw refer method tune cutoff use,information seeking,3,6
realli find,information giving,1,2
exampl paper quot earlier thread talk find optim cutoff given sensit specif criterion,information giving,1,13
recal specif refer case say general tune base loss function specif given problem cross valid rather discuss seem natur choic,information giving,1,20
articl talk might obvious choic realli obvious,information giving,1,7
could either actual threshold valu could keep model appli threshold let vote,information giving,1,12
feel like averag threshold valu fold sound bit danger option realli seem better,information seeking,3,13
fyi see auc mislead measur perform predict distribut model lobo,information giving,1,10
thnx lot input take look come day,others,7,7
,others,7,0
solut use gridsearch tune best threshold,information seeking,3,6
current implement use score function find best fold calc averag score fold,information giving,1,12
extrem uncomfort break structur logic sklearn,information giving,1,6
mean temporari implement actual know right,information giving,1,6
,information giving,1,0
mean,information seeking,3,1
rang solut,information seeking,3,2
could write concret step propos,information seeking,3,5
gridsearch tune threshold other hyperparam simultan general depend estim need fold combin,information giving,1,12
forum usag question implement someth,information giving,1,5
tri stackoverflow,information giving,1,2
statist look youden,information giving,1,3
scenario aris quit often time line work seem lol,information giving,1,9
high imbalanc dataset,information giving,1,3
exact sorri tri put name face,information giving,1,6
look forward happi help move along need,information giving,1,7
sure link duplic,information giving,1,3
import stratifi sampl accord regress model otherwis might possibl get total differ rang train valid set,information giving,1,16
howev current stratifiedkfold allow float,information giving,1,5
would,information seeking,3,1
bin,information seeking,3,1
refer,information seeking,3,1
total differ rang unlik shuffl data small btw,information giving,1,8
yes unlik get extrem case complet differ rang,information giving,1,8
howev may rare sampl differ valu train valid set,information giving,1,9
well could call stratifiedkfold bin version,information giving,1,6
could add support question whether add new object add class,information giving,1,10
add class need infer whether classif regress problem base type might lead user astray,solution proposal,4,14
bin bin sound like bit bad idea bin would everi fold unless exact uniform distribut right,information giving,1,16
true,information giving,1,1
user bin,information giving,1,2
think make sens support,information giving,1,4
scenario think user may led astray,information seeking,3,6
want regress provid integ,information giving,1,4
bin let say sampl want creat bin sampl bin creat valid set rest train,information giving,1,14
last round valid set contain sampl,information giving,1,6
right,information seeking,3,1
clarifi one sampl bin valid random order,information giving,1,7
anoth way probabl better put sort pick sampl left right skip everi number sampl,information giving,1,14
problem integ use class regress classif know whether bin,information giving,1,9
bin meant fix bin width,information giving,1,5
sampl put bin bin sampl,information giving,1,5
page,information giving,1,1
see,others,7,1
uniqu integ view label often case one mani uniqu valu without repeat regress,information giving,1,13
somehow think regress repeat valu case less problem,information giving,1,8
exact,others,7,1
ad separ object regress seem like nice easi extens,information giving,1,9
hey anybodi work welcom,information seeking,3,4
would continu class name,information seeking,3,4
got time work far,information giving,1,4
sure other,others,7,2
think welcom,information seeking,3,2
mayb appropri place ask need write helper function place must buri,information seeking,3,11
helper function fine use,information giving,1,4
doubt necess function see last pull request,information giving,1,7
thank head,others,7,2
hope get merg would like see function includ,information giving,1,8
hey progress,information seeking,3,2
look refer,information giving,1,2
feel free literatur search provid benchmark,information giving,1,6
feel like sensibl thing sure exact requir,information giving,1,7
would rather use sort base approach bin base approach,information giving,1,9
coupl approach outlin blog post,information giving,1,5
simplest seem base sort,information giving,1,4
think stratifi fold classif textbook,information seeking,3,5
spend time next book though tri read data mine weka folk,information giving,1,11
actual mention stratifi,information giving,1,3
actual realli excit year old book awar,information giving,1,7
talk stratif classif,information giving,1,3
implement accord blog post mention,information giving,1,5
code,information giving,1,1
test code show work,information giving,1,4
anyon interest port,information seeking,3,3
keen avail,information giving,1,2
code need stabl sort,information giving,1,4
seem like could make solid addit opinion,information giving,1,7
admit skim thread match quantil across sampl distribut term number data point bin across fold seem like nice approach,information giving,1,19
check thorough think random implement privat function call code,information seeking,3,9
see error part code,information giving,1,4
point,information seeking,3,1
random pass,information giving,1,2
also true,information giving,1,2
thus work manner builtin function,information giving,1,5
want featur project came straightforward solut stratifi kbinsdiscret,information giving,1,8
test far comprehens least seem work,information giving,1,6
sure protocol attempt help issu like hope help edit updat code kbinsdiscret,information giving,1,12
help simpl way implement suggest think would defin new class inherit stratifiedkfold overwrit split method,information giving,1,15
someth like,information giving,1,2
could interest,information giving,1,2
douglaspatton tri use function could pleas explain group,information seeking,3,8
thank advanc,others,7,2
yes group bin consecut observ span length along number line bin collect cover rang uniform bin observ span length along cumul probabl densiti quantil,information giving,1,24
read group algorithm work notabl bin sampl stratifi manner creat assign experi much distribut high skew uniform bin long tail spars quantil seem like safer choic though sure nuanc consid,information giving,1,30
douglaspatton thank much explan,others,7,4
believ pretti clear function,information giving,1,4
appreci explain,others,7,2
thank,others,7,1
hello thank make fantast librari,others,7,5
use everi day bioinformat research,information giving,1,5
develop toolkit analysi want add current analys,information giving,1,7
unfortun reimplem reli certain packag particular vgam aka vector general linear addit model,information giving,1,13
found mention gam,information giving,1,3
pyearth,information giving,1,1
anyth els relat gam could potenti ad,information seeking,3,7
sure actual common use scale larger dataset check,information seeking,3,8
origin gam paper hasti around citat seem much interest peopl spam around odd sure citat import criteria inclus base recent addit faq,information giving,1,22
think liso popular may mistaken,information giving,1,5
interest work spam,information giving,1,3
given refer feel consider interest dev,information seeking,3,6
finish prs start spam,information seeking,3,4
implement spam somewher,information giving,1,3
share,information seeking,3,1
yup sinc look proof concept provid,information giving,1,6
thank share,others,7,2
guess,others,7,1
keep small maxim chanc get feedback quick,information giving,1,7
spam gamlss mar perhap,information seeking,3,4
simpli,information seeking,3,1
would larg directori name think let know issu,information giving,1,8
think alreadi bit long probabl linear,information giving,1,6
call,information seeking,3,1
saw inclus gam gsoc,information giving,1,4
want know whether project assign anyon els would start develop gam model,information giving,1,12
pleas repli,others,7,2
statsmodel gam,information giving,1,2
curious,others,7,1
notic wiki current flight,information giving,1,4
anyon know effici workaround use gam python,information seeking,3,7
around want work,information seeking,3,3
pyearth help,information giving,1,2
still need good standard gam implement python like gam packag,information giving,1,10
use sam packag select featur,information seeking,3,5
updat ad gam sklearn,information seeking,3,4
pretti neat use interpreat pygam python gam would interest gam pairewis ineract paper lou explain,information giving,1,15
like featur lot well seem like includ addit model make sklearn one stop shop,information giving,1,14
could consid migrat project get visibl expand developp base,information giving,1,9
general glms,information giving,1,2
lot interest gam recent interpret,information giving,1,5
cool variant propos use gradient boost tree singl variabl oppos use spline call ebm,information giving,1,14
might also interest far small extens histgradientboost,information giving,1,7
look classic spline stuff,information giving,1,4
assum mean spline addit gradient boost,information seeking,3,6
inde gradient boost variant look interest hard add,information giving,1,8
look like hot topic point,information giving,1,5
mine,information giving,1,1
look mgcv relat book general addit model wood second edit hard part smooth select done use reml restrict maximum likelihood gcv,information giving,1,21
wood book recommend use reml tend resist occasion sever,information giving,1,9
refer use reml smooth paramet select wood,information giving,1,7
reml default mgcv,information giving,1,3
see comment gradient boost version,information seeking,3,5
would interest review gam,information seeking,3,4
also favor gam though see context glms glm spline penalti gam,information giving,1,11
tricki part opinion solver handl featur,information giving,1,6
mgcv specifi spline type penalti featur name,information giving,1,7
current propos tabl,information giving,1,3
would rather first particular cyclic boost build work,information giving,1,8
think also nice think less well understood term interpret,information giving,1,9
someth general long easi someth equival explain boost machin algorithm solut,information giving,1,11
tree base gam point interact constraint give possibl specifi addit allow pairwis,information giving,1,12
big step interpret,information giving,1,3
cyclic boost someth top might improv certain aspect model,information giving,1,9
therefor consid logic implement plan start,information giving,1,6
api perspect general interact constraint seem complex standard gam guess question whether want separ class,information giving,1,15
fine option interact constraint cyclic boost make much less discover also make harder use method literatur requir set multipl paramet specif valu,information giving,1,22
piec togeth oppos idea new class set default paramet boost gam becom easier avail,information giving,1,14
brought coupl place think import enough track separ issu,information giving,1,9
often use tenet simpl thing simpl complex thing possibl,information giving,1,9
howev right support think simpl trivial use case tabular data,information giving,1,10
favor solut day ad simplepreprocessor basic alia,information giving,1,7
superimput,others,7,1
,others,7,0
yes also thought comment explicit implicit context,information giving,1,7
realis propos someth much implicit,information giving,1,5
handl string categor problemat handl int categor alway also problemat,information giving,1,10
panda actual categor dtype exploit semant annot,information giving,1,7
although perhap explicit avoid interpret handl order categor case,information giving,1,9
user data categor dtype user explicit enough handl call magic,information giving,1,10
might problem categor dtype differ fit transform time variant,information giving,1,9
btw like idea simplepreprocessor allow user select scaler string argument simpl knn imput encod,information giving,1,14
btw use categor dtype got complic current panda understand correct sure,information giving,1,11
peopl typic use think,information giving,1,4
exact topic worth bear mind lot nicer way current,information giving,1,9
see,others,7,1
person alway find via whenev mix categor non categor variabl,information giving,1,10
use astyp categori deprec import deep part api import categoricaldtyp creat categori user,information giving,1,13
unless easier way column,information seeking,3,4
mayb deprec messag mention,information giving,1,4
yeah meant second realli import,information giving,1,5
prefer solut someth,information seeking,3,3
slide yesterday explain encod panda tri ensur column match,information giving,1,9
typo frequent make know,information giving,1,4
meet happen scipi sprint,information seeking,3,4
would exclud attend person,information giving,1,4
could also skype call beforehand tri hash detail sprint,information giving,1,9
think most anyon els interest roadmap,information seeking,3,6
sure use thing contribut,information giving,1,4
answer use let wait sure like,information giving,1,6
scipi,information giving,1,1
aaahhh right well guess phone call,information seeking,3,6
take long uncertain,information giving,1,3
could year even clear find wide adopt,information giving,1,7
would like think far reason,information giving,1,5
also see,information giving,1,2
btw conclus onehotencod deal miss valu treat categori,information seeking,3,8
would great default behavior imho would make stuff much simpler user would complic onehotencod,aspect evaluation,2,14
seem problem nan use miss valu marker,information giving,1,7
apart disabl searchsort fail identifi equal nan equal,information giving,1,8
inde yet realli conclus issu forward miss valu onehotencod,information giving,1,9
specif treat categori case use pipelin simpleimput fill also get similar effect,information giving,1,12
look like would simplepreprocessor though nice pickl,information giving,1,7
pickl lambda right,information seeking,3,3
need contain closur,information giving,1,3
easi,information seeking,3,1
terribl way,information seeking,3,2
indic featur think pretti good way,information giving,1,6
actual follow sinc nan pass prepossess,information giving,1,6
understand problem discuss,information giving,1,3
could somebodi pleas help understand,information seeking,3,5
work consequ issu among other,information giving,1,5
think would make sens also consid text data simpl data scienc exampl,information giving,1,12
dataset slight complic titan dataset,information giving,1,5
sorri,others,7,1
link fix,information giving,1,2
move,others,7,1
link confirm work,information giving,1,3
sometim conveni first build model recent dataset save file appli model new dataset,information giving,1,13
howev last project friend found result turn quit wire appli file new dataset,information giving,1,13
actual implement binari classifi,information giving,1,4
found probabl distribut turn unimod distribut bimod distribut,information giving,1,8
final found problem column order new dataset differ old one,information giving,1,10
thus predict total wrong,information giving,1,4
check sourc code discov fit function sklean save column valu process model train,information giving,1,13
thus mean check whether column valu consist process predict,information giving,1,9
thought would better column valu could save train use check column valu predict,information giving,1,13
current concept column label,problem discovery,5,4
agre would nice featur,feature request,null,4
hold breath,information giving,1,2
store column name would import first step hope achiev soonish,information giving,1,10
avail consist check probabl either,information giving,1,5
oper numpi array current column name,information giving,1,6
might chang futur might add better integr panda,information giving,1,8
thank repli,others,7,2
look forward new version,aspect evaluation,2,4
thank edifi convers guy,others,7,4
think wrapper ensur column order maintain fit would good idea,information giving,1,10
would guess way would respect column name present fit predict respect column order miss either,information giving,1,15
also featur select would need abid,information giving,1,6
sure easi might first appear,information giving,1,5
opinion sklearn issu panda issu,problem discovery,5,5
said complain expect terribl easi,information giving,1,5
would like solv insid think consensus yet,information giving,1,7
would argu protect user silent wrong result voic might say user pass datafram,information seeking,3,13
voic might say user pass datafram,information seeking,3,6
warn option would loud,aspect evaluation,2,4
mani peopl pass datafram,information giving,1,4
guess depend bit whether want pass datafram,information giving,1,7
one problem warn basic tell user use everywher convert numpi array get warn,problem discovery,5,13
error becom silent noth,information giving,1,4
made user chang code never hope catch error,information giving,1,8
prefer sklearn respect column name present fit predict respect column order miss either,feature request,null,13
also think warn would better work right easi get fals sens secur end buggi code experi issu,feature request,null,17
sure got problem warn,information giving,1,4
alway warn peopl chang code get warn pass,information giving,1,8
numpi array without column name,information giving,1,5
later chang code column mismatch get warn pass numpi array,information giving,1,10
end ad warn safe creat work,information giving,1,6
think understand point,information giving,1,3
point warn link see detail document page page take great pain point need manag column posit outsid sklearn guess save quit peopl,information giving,1,22
see come,information giving,1,2
might good way make peopl awar issu potenti exist,information giving,1,9
still think bit loud unspecif though might inde save peopl,information giving,1,10
hope term better solut,information giving,1,4
think warn panda datafram input overkil,information giving,1,6
lot peopl load datafram static sourc recommend reorder column,information giving,1,9
suggest extend least check perhap even help store estim attribut,solution proposal,4,10
term syntax could magic fit mayb prefer,information giving,1,7
could make even magic decor metaclass,information giving,1,6
would rather store hash inform valuabl model inspect,information giving,1,8
sure like pass self guess altern would return store pass predict transform,information giving,1,12
probabl want realli look pipelin process awesom,information giving,1,7
wish use fit use transform anoth proper way abl use proper column order,information seeking,3,13
guaranti panda datafram column specif order,information seeking,3,6
current estim check match fit predict,information giving,1,6
want add featur extrem import model build process predict process expos user often complet separ,information giving,1,15
pleas see test case,information giving,1,4
think,information seeking,3,1
could potenti make set check signatur job,information giving,1,7
,solution proposal,4,0
difficult thing super baseestim much codebas,information giving,1,6
disagre rais error,information giving,1,3
data frame differ philosoph array,information giving,1,5
peopl like pass data frame wrong order moment wrong awar sklearn packag hasnt handl edg case,information giving,1,16
panda datafram column order alway exist talk anyon use panda would never iloc column index index column name,information giving,1,18
absolut agre warn must,information giving,1,4
agre repli,information giving,1,2
extra column code implement lot talk context cross valid featur selector rfecv,information giving,1,12
accept datafram size allow learner alway correct,information giving,1,7
user give column select predict data fit predict arbitrari datafram predict,information giving,1,11
goal mind enabl agnost use estim estim go pickl long forgotten repo somewher,information giving,1,13
dont want use mistaken dig file cabinet,information giving,1,7
workaround problem,information seeking,3,2
reorder column,information giving,1,2
hello went issu tri,information giving,1,4
still slep right,information seeking,3,3
think tri one,information giving,1,3
want,information seeking,3,1
relat featur name actual current featur name idea might solv issu,information giving,1,11
thought whether want featur name,information seeking,3,5
think option most list comment,information giving,1,5
,others,7,0
want,others,7,1
think solv issu,information giving,1,3
solv issu user awar issu activ take step prevent problem occur,information giving,1,11
solv issu realli core issu user expect silent error,information giving,1,9
also realli verbos,information giving,1,3
cool total agre encourag draft would love hear thought well,information giving,1,10
also see,information giving,1,2
valid column name partial fix user use columntransform right,information seeking,3,9
need love,aspect evaluation,2,2
yes basediscretenb design featur valu frequenc boolean,information giving,1,7
recent refactor fix negat valu problem,information seeking,3,6
issu fix,information seeking,3,2
consid help,information giving,1,2
nope still open,information giving,1,3
feel free submit pull request,information giving,1,5
varianc zero distribut featur gaussian think follow,information giving,1,7
one instanc still work happi,information giving,1,5
alreadi readi,information giving,1,2
wait suggest,information giving,1,2
familiar mayb comment idea,information giving,1,4
work sent make discuss lot easier alreadi,information giving,1,7
love never even use gaussian,information giving,1,5
practic data discret,information giving,1,3
mayb comment idea,information seeking,3,3
